neterminaly / symboly,<?xml,version=,?>,.,<,>,</,-,:,_,/>,LETTER,NUMBER,!,@,#,$
xmldokument,1,,,,2,,,,,,,,,,,,
xmldecl,3,,,,,,,,,,,,,,,,
vernumb,,,,,,,,,,,,,4,,,,
element,,,,,5,,,,,,,,,,,,
element′,,,,,,7,,,,,6,,,,,,
element′′,,,,8,9,,10,8,8,8,,8,8,8,8,8,
elements,,,,,11,,,,,,,,,,,,
endtag,,,,,,,12,,,,,,,,,,
name,,,,,,,,,13,13,,13,,,,,
namestart,,,,,,,,,16,15,,14,,,,,
nameend,,,,17,,18,,17,17,17,18,17,17,,,,
namechar,,,,21,,,,22,24,23,,19,20,,,,
letter,,,,,,,,,,,,25,,,,,
number,,,,,,,,,,,,,26,,,,
number′,,,28,28,,,,,,,,,27,,,,
digit,,,,,,,,,,,,,29,,,,
word,,,,30,,,,30,30,30,,30,30,30,30,30,
word′,,,,31,,,32,31,31,31,,31,31,31,31,31,
char,,,,35,,,,36,38,37,,33,34,39,40,41,